run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
1,20260621,count,10,0,1987,1395.1443390686159,955,678.1599747263305,32.325437244111775,55.86234248895869,864.4194421732368,38.25603195401518,160.20632931232024,19.109347374836087,211
1,20260621,dev_weighted_count,10,0,1984,1393.6846411396036,968,685.2477560040603,32.42228709969526,55.86234248895869,865.879140102249,38.320632827030146,153.1185480345904,18.263919637153172,198
1,20260621,recent_count,10,0,1984,1393.6846411396036,968,685.2477560040603,32.42228709969526,55.86234248895869,865.879140102249,38.320632827030146,153.1185480345904,18.263919637153172,198
1,20260621,peak_concurrency,10,0,1988,1411.9294305926635,952,682.7217424161602,35.85177598465161,55.86234248895869,847.6343506491892,37.513185407111216,155.64456162249053,18.565221535348698,214
1,20260621,hybrid_count_concurrency_a0.5,10,0,1987,1395.1443390686159,955,678.1599747263305,32.325437244111775,55.86234248895869,864.4194421732368,38.25603195401518,160.20632931232024,19.109347374836087,211
1,20260621,count_x_pull_time,10,0,1987,1395.1443390686159,955,678.1599747263305,32.325437244111775,55.86234248895869,864.4194421732368,38.25603195401518,160.20632931232024,19.109347374836087,211
1,20260621,dev_weighted_count_x_pull_time,10,1,1988,1338.102691703004,953,644.6893462382909,32.325437244111775,55.042444920202286,921.4610895388487,40.78048591451643,193.6769578003598,23.101710656471088,213
1,20260621,model_exposure_dev,10,8,1997,1307.5211091650365,688,414.8913146649703,0.0,37.84366497549153,952.0426720768162,42.13391451838439,423.4749893736804,50.51192865620672,478
1,20260621,oracle_impact_upper_bound,10,10,2001,1458.1404162020883,612,388.6854300660911,0.0,37.21436747185108,801.4233650397643,35.46805678569088,449.6808739725596,53.637756170103444,554
2,20260622,count,10,1,1982,1664.1253375904394,1014,846.2794777666572,41.89572452761521,62.80342201867188,674.8459436749545,28.852254368418745,144.5295573000825,14.587024561231132,213
2,20260622,dev_weighted_count,10,0,1981,1656.2029668903438,1032,858.7989760577524,41.89572452761521,62.80342201867188,682.7683143750501,29.190966124460896,132.01005900898735,13.323461367113524,195
2,20260622,recent_count,10,2,1981,1607.5622083270669,1007,821.1609894609004,41.89572452761521,62.80342201867188,731.409072938327,31.270545251955017,169.64804560583934,17.122173860113424,220
2,20260622,peak_concurrency,10,1,1982,1664.1253375904394,1014,846.2794777666572,41.89572452761521,62.80342201867188,674.8459436749545,28.852254368418745,144.5295573000825,14.587024561231132,213
2,20260622,hybrid_count_concurrency_a0.5,10,1,1982,1664.1253375904394,1014,846.2794777666572,41.89572452761521,62.80342201867188,674.8459436749545,28.852254368418745,144.5295573000825,14.587024561231132,213
2,20260622,count_x_pull_time,10,3,1981,1424.6772987193124,976,737.7090430028496,36.63755890041874,58.17754708191076,914.2939825460815,39.08957710893501,253.0999920638901,25.54478038715519,251
2,20260622,dev_weighted_count_x_pull_time,10,2,1979,1462.412005075403,1010,773.5768229215483,37.74529278504453,58.17754708191076,876.5592761899909,37.476273574242796,217.2322121451914,21.924730645048964,217
2,20260622,model_exposure_dev,10,8,1999,1307.2788492435486,748,494.91346220142526,0.0,44.67563841273288,1031.6924320218452,44.1088114371244,495.8955728653145,50.04956104703986,479
2,20260622,oracle_impact_upper_bound,10,10,2003,1328.6599893608052,696,459.6959478469183,0.0,44.60463557862957,1010.3112919045886,43.194685629402244,531.1130872198214,53.603981031929756,531
3,20260623,count,10,1,1982,1544.828424900329,915,720.8414415398045,31.568930680934702,52.53384792991143,841.3871386902733,35.26031560301348,177.78812545863843,19.784361875881444,205
3,20260623,dev_weighted_count,10,0,1982,1553.5303379391237,927,734.3680775772671,31.568930680934702,52.75694124202094,832.6852256514787,34.89564138113805,164.26148942117584,18.27911026451464,193
3,20260623,recent_count,10,0,1976,1563.6938079072008,956,758.0630927493185,35.403169122077855,52.75694124202094,822.5217556834016,34.46971716359653,140.56647424912444,15.642315745144852,164
3,20260623,peak_concurrency,10,1,1985,1569.7952173900944,903,714.853850874703,29.72542708340368,52.75694124202094,816.420346200508,34.21402318623798,183.77571612373993,20.45066430849569,217
3,20260623,hybrid_count_concurrency_a0.5,10,1,1982,1544.828424900329,915,720.8414415398045,31.568930680934702,52.53384792991143,841.3871386902733,35.26031560301348,177.78812545863843,19.784361875881444,205
3,20260623,count_x_pull_time,10,3,1982,1377.624449850663,876,613.2579498542544,29.250287727977664,50.27440036294046,1008.5911137399394,42.26739315295913,285.37161714418846,31.756312904033674,244
3,20260623,dev_weighted_count_x_pull_time,10,2,1982,1386.3263628894576,888,626.7845858917169,29.250287727977664,51.52061537744817,999.8892007011448,41.90271893108369,271.844981106726,30.251061292666883,232
3,20260623,model_exposure_dev,10,3,1987,1360.900481174812,748,512.0940521228306,0.0,51.52061537744817,1025.3150824157904,42.96825056630556,386.5355148756123,43.01388793234332,372
3,20260623,oracle_impact_upper_bound,10,10,2009,1483.236593670826,591,414.3186893026657,0.0,50.27440036294046,902.9789699197763,37.84146678521532,484.3108776957772,53.894384903609165,529
