top_k,cumulative_feedback_minutes,single_feedback_minutes,pull_seconds,image
1,163.52640543686937,163.52640543686937,210,img-09
2,285.47030279527036,121.94389735840099,180,img-03
3,395.38897296679573,109.91867017152536,150,img-07
4,489.6714335040723,94.28246053727658,170,img-15
5,578.807854813088,89.1364213090158,120,img-05
6,666.36282005092,87.55496523783198,130,img-12
7,739.6302783453214,73.2674582944013,220,img-22
8,807.734413474841,68.10413512951962,95,img-11
9,866.3327121148849,58.59829864004393,140,img-19
10,923.0243174160627,56.691605301177745,75,img-06
11,977.0581725354033,54.033855119340664,110,img-17
12,1026.7493742301192,49.69120169471591,90,img-01
13,1074.566507792783,47.81713356266387,80,img-14
14,1118.8435708017796,44.27706300899653,60,img-10
15,1156.1611344911696,37.31756368939003,60,img-02
16,1192.4665187849466,36.305384293776946,100,img-21
17,1224.6411059336676,32.17458714872108,45,img-04
18,1256.812760657707,32.17165472403947,160,img-27
19,1288.721490500298,31.90872984259096,70,img-18
20,1319.5905775427682,30.869087042470294,125,img-25
21,1348.1238954751616,28.53331793239329,55,img-16
22,1373.615222120714,25.49132664555232,40,img-13
23,1398.2286178156294,24.613395694915514,200,img-30
24,1421.0240658176176,22.795448001988305,85,img-24
25,1442.5231069277766,21.49904111015883,30,img-08
26,1462.115989987654,19.59288305987749,65,img-23
27,1479.4064813235555,17.290491335901468,115,img-29
28,1493.110533584545,13.704052260989549,35,img-20
29,1504.340366923577,11.229833339032012,50,img-26
30,1512.275627586206,7.935260662628888,45,img-28
