hour,label,target_jobs_since_rotation,normal_warm_nodes,normal_cold_nodes,fully_warm_baseline
0,00:00,0.0,0.0,100.0,100
1,01:00,4.310344827586207,4.239548818349503,95.7604511816505,100
2,02:00,8.620689655172415,8.299359894867308,91.70064010513269,100
3,03:00,12.931034482758621,12.187053298863393,87.81294670113661,100
4,04:00,17.24137931034483,15.909926043089296,84.0900739569107,100
5,05:00,21.551724137931032,19.47496577987873,80.52503422012127,100
6,06:00,25.86206896551724,22.888863916633404,77.1111360833666,100
7,07:00,37.93103448275861,31.697214424077114,68.30278557592288,100
8,08:00,50.0,39.49939328624637,60.50060671375363,100
9,09:00,70.6896551724138,50.857933961382265,49.142066038617735,100
