time,normal_warm_nodes,fully_warm_baseline
0.0,0.0,100
0.5,2.1427308874550133,100
1.0,4.239548818349503,100
1.5,6.291437583785009,100
2.0,8.299359894867308,100
2.5,10.264257834393952,100
3.0,12.187053298863393,100
3.5,14.068648431013052,100
4.0,15.909926043089296,100
4.5,17.711750031047792,100
5.0,19.47496577987873,100
5.5,21.20040056024698,100
6.0,22.888863916633404,100
6.5,27.426551732620563,100
7.0,31.697214424077114,100
7.5,35.71656537191906,100
8.0,39.49939328624637,100
8.5,45.47363197036024,100
9.0,50.857933961382265,100
